"site_no","SAMPLE_DATE","Dec_Lat","Dec_Long","AP","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT"
422833079095101,2021-07-26,42.468333,-79.175667,"N","SODIUM",11100,"ug/L"
422902077070401,2017-10-30,42.483984,-77.117621,"N","SODIUM",139000,"ug/L"
422903078364701,2016-08-08,42.484186,-78.607941,"N","SODIUM",16500,"ug/L"
422906076174801,2017-12-18,42.485001,-76.296536,"N","SODIUM",8770,"ug/L"
422937076531401,2012-10-23,42.49341,-76.887624,"N","SODIUM",47200,"ug/L"
422937076531401,2017-11-20,42.49341,-76.887624,"N","SODIUM",35700,"ug/L"
423001078400001,2011-09-28,42.51525,-78.669833,"N","SODIUM",18300,"ug/L"
423001078400001,2011-09-28,42.5152,-78.6708,"N","SODIUM",18300,"ug/L"
423001078400001,2011-09-28,42.515222,-78.670306,"N","SODIUM",18300,"ug/L"
423001078400001,2016-11-15,42.51525,-78.669833,"N","SODIUM",39500,"ug/L"
423001078400001,2016-11-15,42.5152,-78.6708,"N","SODIUM",39500,"ug/L"
423001078400001,2016-11-15,42.515222,-78.670306,"N","SODIUM",39500,"ug/L"
423001078400001,2021-09-15,42.51525,-78.669833,"N","SODIUM",39900,"ug/L"
423001078400001,2021-09-15,42.5152,-78.6708,"N","SODIUM",39900,"ug/L"
423001078400001,2021-09-15,42.515222,-78.670306,"N","SODIUM",39900,"ug/L"
423024074583101,2014-08-05,42.506861,-74.975528,"N","SODIUM",3990,"ug/L"
423054073410201,2018-07-31,42.515081,-73.683452,"N","SODIUM",28900,"ug/L"
423118077282001,2018-08-29,42.521778,-77.472167,"N","SODIUM",21800,"ug/L"
423124077414901,2020-09-15,42.523222,-77.697,"N","SODIUM",54200,"ug/L"
423141074153301,2018-08-01,42.528056,-74.259167,"N","SODIUM",65300,"ug/L"
423156075232101,2019-10-30,42.532222,-75.389167,"N","SODIUM",15400,"ug/L"
423200078250001,2011-09-28,42.53475,-78.424306,"N","SODIUM",20300,"ug/L"
423200078250001,2016-07-27,42.53475,-78.424306,"N","SODIUM",23800,"ug/L"
423200078250001,2021-07-29,42.53475,-78.424306,"N","SODIUM",21500,"ug/L"
