FID,Shape,OBJECTID,FIN,ACRES,SHORELINE_,WATER,SHAPE_AREA,SHAPE_LEN,POLY_AREA,PERIMETER
7046,Polygon ZM,6526,C-15-P110-8-1-P208,11.9,0.7,Little Weller Pond,48197.39136,1063.803512,11.909824,1063.803512
7047,Polygon ZM,6527,C-P187,1.4,0.2,Unnamed Water,5472.468873,273.269174,1.352275,273.269174
7048,Polygon ZM,6528,C-15-22-8-P45A,5.4,0.5,Dell Pond,21683.99922,731.047731,5.358228,731.047731
7049,Polygon ZM,6529,C-P43,0.4,0.1,Unnamed Water,1746.411386,164.90174,0.431547,164.90174
7050,Polygon ZM,6530,C-15-60-1-P92,1.8,0.2,Unnamed Water,7255.438914,365.41137,1.792856,365.41137
7051,Polygon ZM,8081,C-15-54-P83,157.1,3.3,Moose Pond,635788.0859,5366.075765,157.106519,5366.075765
7052,Polygon ZM,8082,C-P50,4,0.3,Drew Pond,16268.9384,526.212919,4.020139,526.212919
7053,Polygon ZM,8083,C-P132,1.1,0.2,S.W. Amphitheater Pond,4369.782032,244.470892,1.079796,244.470892
7054,Polygon ZM,8084,C-P5132,1.4,0.3,Unnamed Water,5803.260831,412.438801,1.434016,412.438801
7055,Polygon ZM,8085,C-P68,1.6,0.2,Unnamed Water,6643.126504,330.542243,1.641551,330.542243
7056,Polygon ZM,8086,C-P197,3.3,0.3,Sochia Pond,13339.12519,447.46828,3.296167,447.46828
7058,Polygon ZM,8088,C-15-P110-6-P114-5-7-P149-1-P155,41.4,1.6,Ledge Pond,167370.0692,2563.669535,41.358008,2563.669535
7059,Polygon ZM,8089,C-15-P110-6-P114,88.8,1.6,Upper Saranac Lake,359295.6813,2523.685878,88.783818,2523.685878
7061,Polygon ZM,8091,C-P98-1-P101,5.7,0.4,Little Pine Pond,22910.16643,624.39817,5.66122,624.39817
7062,Polygon ZM,8092,C-15-P110-6-P114-5-7-1-P147,64.3,2,East Pine Pond,260252.4875,3164.533704,64.309733,3164.533704
7063,Polygon ZM,8093,C-P97,9.3,0.6,Cameras Pond,37606.74528,1023.463973,9.292821,1023.463973
7064,Polygon ZM,8094,C-15-18-7-1-P5049,1.2,0.2,Unnamed Water,4687.526516,287.492193,1.158312,287.492193
7214,Polygon ZM,8121,C-15-66-P5363,37,1.7,Little Colby Pond,149838.3691,2788.162328,37.025835,2788.162328
7215,Polygon ZM,8122,C-15-22-P66-P70-1-P62,43,1.3,Square Pond,173942.9165,2134.979465,42.982193,2134.979465
7216,Polygon ZM,8123,C-P186,29.7,1,Rat Pond,120033.6251,1584.753746,29.660929,1584.753746
7217,Polygon ZM,8124,C-15-P110-6-P114-9-1-P191-3-P194,18.9,0.7,Grass Pond,76413.33044,1203.202018,18.882128,1203.202018
7257,Polygon ZM,7444,C-15-P110-6-P114,171.5,2.5,Upper Saranac Lake,694039.2083,4102.34504,171.500672,4102.34504
7258,Polygon ZM,7445,C-P118A,0.7,0.1,Unnamed Water,2816.477824,195.279896,0.695966,195.279896
7265,Polygon ZM,7793,C-15-P110-6-P114-5-8-P170,54.9,1.6,Rock Pond,222163.9107,2555.976371,54.897849,2555.976371
7266,Polygon ZM,7794,C-15-P110-6-P114,4314.6,40.5,Upper Saranac Lake,17460699,65207.3242,4314.628874,65207.3242
7316,Polygon ZM,7148,C-15-P110-6-P114,60.9,1.4,Upper Saranac Lake,246273.8207,2184.000126,60.855533,2184.000126
7318,Polygon ZM,7150,C-15-P110,80.2,1.8,Middle Saranac Lake,324416.1907,2860.335068,80.164916,2860.335068
7319,Polygon ZM,7151,C-P5135,1.7,0.2,Unnamed Water,6972.863754,324.875725,1.723031,324.875725
7334,Polygon ZM,7451,UH-P5232,1.4,0.2,Unnamed Water,5545.899475,351.302716,1.37042,351.302716
7335,Polygon ZM,7452,C-15-60-P91,21,1.6,Ray Brook Pond,84996.3824,2533.244861,21.003045,2533.244861
7336,Polygon ZM,7453,C-P163,27.1,0.8,Church Pond,109596.1077,1335.574064,27.081764,1335.574064
7346,Polygon ZM,7805,C-15-66-P106,295.1,3.9,Lake Colby,1194103.512,6215.943007,295.069143,6215.943007
7360,Polygon ZM,7819,H-240-180-P929-3-3-P934,19.29184,1.048111,Twin Lakes,78071.61847,1686.775052,19.2919,1686.775052
7523,Polygon ZM,7499,H-240-180-P929-3-3A-P933,2.241973,0.257933,Kings Pond,9072.97789,415.10298,2.24198,415.10298
7524,Polygon ZM,7500,H-240-180-P929-3-1-P932,19.465637,0.985608,Cat Lake,78774.95186,1586.18487,19.465697,1586.18487
7533,Polygon ZM,7853,C-134-4-19-P455A,15.3,1,Wilkie Reservoir,62030.1787,1548.451617,15.327977,1548.451617
7550,Polygon ZM,7870,C-15-20-P38,14.8,0.8,Ore Pond,59795.80961,1356.208227,14.775853,1356.208227
7551,Polygon ZM,7871,C-P137,0.7,0.1,Little East Copperas Pond,3012.362019,210.549598,0.74437,210.549598
7552,Polygon ZM,7872,C-15-22-3-3-2A-P5090,1.3,0.2,Unnamed Water,5079.033891,326.49753,1.255055,326.49753
7553,Polygon ZM,7873,C-15-40-P5098,1.5,0.2,Unnamed Water,6161.599204,337.94883,1.522563,337.94883
7554,Polygon ZM,7874,C-15-P110-6-P114-10-P205,41.9,1.1,Black Pond,169655.9236,1788.233608,41.922855,1788.233608
7555,Polygon ZM,7875,C-15-P74,16.4,1.2,Union Falls Pond,66438.23102,1859.621576,16.41723,1859.621576
7559,Polygon ZM,8216,C-134-4-19-8-5-P431,8.3,0.5,The Three Ponds,33618.80214,878.316996,8.30738,878.316996
7564,Polygon ZM,8221,C-15-14-P5073,1.4,0.2,Unnamed Water,5610.44968,304.685747,1.386371,304.685747
7565,Polygon ZM,8222,C-15-P110-6-P114-5-11-1-P178A,1.7,0.2,Unnamed Water,6901.957525,383.808947,1.705509,383.808947
7628,Polygon ZM,7876,C-15-P110-6-P114-5-11-P178,52.7,1.4,Deer Pond,213253.8585,2189.599177,52.696129,2189.599177
7629,Polygon ZM,7877,C-15-P74,67.6,1.3,Union Falls Pond,273560.549,2110.721261,67.598224,2110.721261
7862,Polygon ZM,7936,C-P118B,1,0.2,Unnamed Water,4176.502725,248.33882,1.032035,248.33882
7863,Polygon ZM,7937,C-P5127,2.3,0.3,Unnamed Water,9322.852382,479.693239,2.303725,479.693239
8031,Polygon ZM,7635,C-134-4-4-P420,2.6,0.3,Spruce Pond,10577.11398,488.317205,2.613659,488.317205
8032,Polygon ZM,7636,C-134-4-19-8-9-P433,5.2,0.5,Inman Pond,20992.90782,730.188214,5.187456,730.188214
8038,Polygon ZM,7642,C-P108,9.7,0.5,Lily Pad Pond,39281.88323,727.273552,9.706756,727.273552
8043,Polygon ZM,7987,C-15-23-P5089,1.6,0.3,Unnamed Water,6537.443207,475.645285,1.615436,475.645285
8044,Polygon ZM,7988,C-P135,0.5,0.1,N.W. Amphitheater Pond,2016.725033,161.903739,0.498343,161.903739
8045,Polygon ZM,7989,C-15-18-P5083,1.4,0.3,Unnamed Water,5587.083718,551.938386,1.380597,551.938386
8046,Polygon ZM,7990,C-P60,0.8,0.1,Unnamed Water,3043.959068,211.078328,0.752178,211.078328
8047,Polygon ZM,7991,C-P200,5.4,0.4,Lindsey Pond,21979.78053,693.09353,5.431317,693.09353
8048,Polygon ZM,7992,C-15-22-5-14-P5111,8.4,0.6,Carpenter Pond,33918.67399,934.056802,8.381479,934.056802
8049,Polygon ZM,7993,C-15-P104,1847,21.9,Lower Saranac Lake,7474506.998,35211.20756,1846.98927,35211.20756
8050,Polygon ZM,7994,C-P5110,1.6,0.2,Unnamed Water,6394.711388,355.838376,1.580166,355.838376
8051,Polygon ZM,7995,C-15-18-11-1-P34,1,0.2,Dow Pond,3847.162639,248.251252,0.950654,248.251252
8052,Polygon ZM,7996,C-15-P110-6-P114-5-7-P149-3-P158,2.6,0.3,Long Pond #3,10529.42414,474.410971,2.601875,474.410971
8262,Polygon ZM,8204,C-15-51-2-A-P5116,2,0.3,Unnamed Water,8185.838684,531.232732,2.022763,531.232732
8263,Polygon ZM,8205,C-P138,9.5,0.5,East Copperas Pond,38611.07624,769.726274,9.540996,769.726274
8299,Polygon ZM,7704,C-134-4-19-19-P452,87.5,2.6,Butler Pond,353962.5604,4113.384673,87.465976,4113.384673
8310,Polygon ZM,7715,C-15-P110-6-P114-5-4A-P139,23.3,0.9,Copperas Pond,94280.59098,1399.424508,23.297221,1399.424508
8325,Polygon ZM,8073,C-P94,22.8,1.2,Wolf Pond,92317.19286,1959.302095,22.812055,1959.302095
8326,Polygon ZM,8074,C-15-22-P52,14.9,1.1,Mud Pond,60355.48432,1755.162124,14.914152,1755.162124
8327,Polygon ZM,8075,C-P36,3.6,0.3,Unnamed Water,14394.63001,469.644874,3.556987,469.644874
8328,Polygon ZM,8076,C-15-22-8-P5091,0.9,0.3,Unnamed Water,3840.199914,461.559311,0.948933,461.559311
8329,Polygon ZM,8077,C-15-P5085,0.9,0.3,Tefft Pond,3468.401652,507.253233,0.85706,507.253233
8330,Polygon ZM,8078,C-15-P110-6-P114-5-7-P149-1-P150,12.3,0.6,Pink Pond,49796.11848,954.766787,12.304878,954.766787
