Report_Name,Well_ID,Site_No,Well_ID_CK,Dec_Lat,Dec_Long,AP,CC,
Open-File Report 2007–1066,L 176,440907075191701,L 176,44.144444,-75.315833,N,L,
Open-File Report 2011–1074,L 177,435400075180001,L 177,43.910944,-75.304167,N,L,
Open-File Report 2011–1074,L 178,433700075220001,L 178,43.605111,-75.327167,N,L,
Open-File Report 2011–1074,L 179,432959075430801,L 179,43.499694,-75.719722,N,L,
Open-File Report 2015–1168,L 181,435303075305901,L 181,43.884000,-75.516611,N,L,
Open-File Report 2011–1074,L 386,434400075282001,L 386,43.734444,-75.480333,N,L,
Open-File Report 2015–1168,L 388,433114075194101,L 388,43.520472,-75.328111,N,L,
St Lawrence-2020,L 472,440846075193301,L 472,44.094810,-75.365000,N,L,
Open-File Report 2008–1086,L 475,432734075273401,L 475,43.459306,-75.459472,N,L,
Open-File Report 2011–1074,L 491,434713075452801,L 491,43.786944,-75.757806,N,L,
Central New York-2017,L 493,432820075441501,L 493,43.473598,-75.739299,N,L,
Open-File Report 2015–1168,L 589,435313075402301,L 589,43.917583,-75.665750,N,L,
Open-File Report 2019-1005,L 647,440824075232501,L 647,44.139861,-75.389861,N,L,
Open-File Report 2015–1168,L 736,433616075184601,L 736,43.604556,-75.312778,N,L,
Open-File Report 2015–1168,L 747,434048075211301,L 747,43.680083,-75.353556,N,L,
Open-File Report 2015–1168,L 906,433050075423501,L 906,43.507472,-75.697500,N,L,
Eastern Lake Ontario-2018,L 958,433350075442301,L 958,43.564000,-75.739722,N,L,
Eastern Lake Ontario-2018,L1097,433706075182601,L1097,43.618333,-75.307222,N,L,
Eastern Lake Ontario-2018,L1098,434803075402901,L1098,43.800944,-75.674806,N,L,
Eastern Lake Ontario-2018,L1113,435015075241701,L1113,43.837611,-75.404694,N,L,
Eastern Lake Ontario-2018,L1145,434835075490401,L1145,43.809722,-75.817778,N,L,
Open-File Report 2007–1093,LV 329,425600077696001,LV 329,42.545139,-77.626694,N,LV,
Open-File Report 2007–1093,LV 331,424100077493001,LV 331,42.690833,-77.825000,N,LV,
Open-File Report 2012–1135,LV 541,425505077531001,LV 541,42.918417,-77.884722,N,LV,
Open-File Report 2012–1135,LV 542,423219077571701,LV 542,42.538361,-77.954972,N,LV,
Open-File Report 2012–1135,LV 618,423712077423401,LV 618,42.619917,-77.709528,N,LV,
Open-File Report 2007–1093,LV 620,423846077391501,LV 620,42.639417,-77.653889,N,LV,
Open-File Report 2007–1093,LV 637,425044077395101,LV 637,42.845861,-77.663917,N,LV,
Open-File Report 2015–1168,LV 740,423913077311101,LV 740,42.654083,-77.520194,N,LV,
Open-File Report 2007–1093,LV 838,424300077384601,LV 838,42.717472,-77.646667,N,LV,
Open-File Report 2007–1093,LV 847,425341077411201,LV 847,42.894333,-77.686917,N,LV,
Open-File Report 2007–1093,LV 865,425040077484701,LV 865,42.843722,-77.800639,N,LV,
Open-File Report 2007–1066,J 175,440517075482701,J 175,44.078889,-75.815278,N,J,
St Lawrence-2020,J 175,440517075482701,J 175,44.078890,-75.815280,N,J,
Open-File Report 2007–1066,J 177,441255075475101,J 177,44.217500,-75.789167,N,J,
Open-File Report 2011–1074,J 179,440202076023201,J 179,44.030000,-76.046417,N,J,
Open-File Report 2015–1168,J 180,434840076014001,J 180,43.825750,-76.026139,N,J,
Open-File Report 2011–1074,J 180,434840076014001,J 180,43.825750,-76.026139,N,J,
Open-File Report 2011–1074,J 181,435800075400001,J 181,43.969972,-75.672000,N,J,
Open-File Report 2015–1168,J 229,441256075575501,J 229,44.217472,-75.963028,N,J,
Eastern Lake Ontario-2018,J 265,440207075402801,J 265,44.035222,-75.674417,N,J,
Eastern Lake Ontario-2018,J 266,434341076082601,J 266,43.728056,-76.140472,N,J,
Eastern Lake Ontario-2018,J 267,440046075462301,J 267,44.012667,-75.773111,N,J,
Open-File Report 2007–1066,J 621,441014075400401,J 621,44.170611,-75.667639,N,J,
Open-File Report 2011–1074,J1027,441422075501801,J1027,44.236972,-75.836528,N,J,
Open-File Report 2011–1074,J1059,435310075483801,J1059,43.886222,-75.810472,N,J,
Open-File Report 2015–1168,J1118,434239076032202,J1118,43.710197,-76.056803,N,J,
Open-File Report 2011–1074,J1118,434239076032202,J1118,43.710197,-76.056803,N,J,
Open-File Report 2019-1005,J1451,441758075550101,J1451,44.299500,-75.917056,N,J,
Open-File Report 2019-1005,J1628,441307076082501,J1628,44.218667,-76.141556,N,J,
Open-File Report 2019-1005,J1736,440229075501101,J1736,44.041389,-75.836361,N,J,
Eastern Lake Ontario-2018,J1835,435919076134501,J1835,43.972861,-76.276806,N,J,
Open-File Report 2019-1005,J2146,441636075375701,J2146,44.276611,-75.632500,N,J,
Mohawk-2021,HE2197,430108075022801,HE2197,43.018972,-75.041000,N,HE,
Mohawk-2016,HE2124,430247075115501,HE2124,43.046280,-75.198810,N,HE,
Mohawk-2021,HE1947,431847075002101,HE1947,43.313028,-75.005944,Y,HE,
Open-File Report 2015–1168,HE1840,434904074521901,HE1840,43.817861,-74.871722,Y,HE,
Eastern Lake Ontario-2018,HE1774,435417074545301,HE1774,43.904639,-74.914778,Y,HE,
Open-File Report 2008–1086,HE1433,431951074583901,HE1433,43.330806,-74.977444,Y,HE,
Open-File Report 2011–1074,HE1367,434235074562201,HE1367,43.709500,-74.939194,Y,HE,
Open-File Report 2011–1074,HE1341,434904074552101,HE1341,43.817361,-74.920444,Y,HE,
Susquehanna-2019,HE1302,425545074574901,HE1302,42.929250,-74.963583,N,HE,
Susquehanna-2019,HE1225,425304075111801,HE1225,42.883944,-75.186417,N,HE,
Open-File Report 2008–1086,HE1145,430148074495101,HE1145,43.029944,-74.830778,N,HE,
Open-File Report 2008–1086,HE1144,431420075064001,HE1144,43.238889,-75.111111,N,HE,
Mohawk-2021,HE 685,430848074581101,HE 685,43.146560,-74.969780,N,HE,
Open-File Report 2011–1074,HE 628,433031074541401,HE 628,43.508861,-74.903500,Y,HE,
